Algorithm,Vertices,Probability,VC_Size,Runtime
NeighborCover,2000,0.0005,605,0.07481026649475098
ParallelNeighborCover,2000,0.0005,610,0.0013849735260009766
LP_Rounding,2000,0.0005,538,0.053585052490234375
GreedyMIS,2000,0.0005,597,0.0007717609405517578
NeighborCover,2000,0.0005,603,0.07600092887878418
ParallelNeighborCover,2000,0.0005,608,0.0016057491302490234
LP_Rounding,2000,0.0005,537,0.05359292030334473
GreedyMIS,5000,0.03,4839,0.002123117446899414
NeighborCover,5000,0.03,4832,0.01815485954284668
ParallelNeighborCover,5000,0.03,4839,0.010264873504638672
LP_Rounding,5000,0.03,5000,6.637774705886841
GreedyMIS,5000,0.03,4837,0.0019421577453613281
NeighborCover,5000,0.03,4834,0.01379704475402832
ParallelNeighborCover,5000,0.03,4831,0.010883092880249023
LP_Rounding,5000,0.03,5000,6.7146079540252686
GreedyMIS,5000,0.03,4841,0.002532958984375
